NAICS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
54,44900,38250,60639,89056,83344,86137,69650,61001,52110,39692,64814
33,8572,6755,9908,10383,8802,7916,7116,7427,8228,8489,13212
61,15726,12156,12982,11225,12057,11188,11571,12208,10812,10752,12562
51,2568,4088,4932,5480,4639,5085,5098,5332,6110,6203,10313
52,4763,4328,5147,4703,3887,4071,4165,4372,4011,5729,8316
62,8404,6856,7054,5621,5865,5362,4920,5252,5211,5032,6097
45,548,605,963,1347,1440,1544,1552,1939,3031,3615,4734
32,1742,1254,1693,1769,1475,1347,1087,1058,1032,1464,1936
99,2391,1661,1962,3019,2288,901,500,520,403,587,1700
56,1486,902,1253,1086,1066,932,807,1048,1087,1030,1533
42,756,589,834,882,900,1188,977,933,688,950,1362
23,416,257,347,328,350,462,475,453,440,718,1055
44,1249,901,927,766,642,639,531,520,441,569,813
53,352,287,335,303,230,340,273,289,248,351,634
55,257,288,344,333,307,359,402,363,319,414,586
31,788,681,861,717,537,523,460,371,318,359,569
81,812,732,855,702,535,531,467,424,318,370,432
48,569,397,420,428,382,350,289,278,231,303,377
21,763,483,636,892,671,508,374,177,221,182,363
22,435,298,286,302,244,218,210,213,162,190,294
72,813,630,696,367,295,254,230,219,193,208,244
92,344,227,296,231,179,193,207,200,150,193,241
49,40,37,52,35,25,31,48,72,48,168,237
71,539,527,1045,398,263,248,184,174,155,137,176
11,197,123,170,140,125,93,81,81,71,49,132
503,,0,,,,,,,,,
